r [m],m,root_index,omega_real [rad/s],omega_imag [rad/s],omega_hat_real,omega_hat_imag,is_real
500000.0,-5,4,-5.338556325048276e-07,3.052203837694086e-05,-0.005338556325048276,0.3052203837694086,0
500000.0,-5,5,1.0751937663532239e-05,0.0,0.10751937663532239,0.0,1
500000.0,-5,6,8.92501350956116e-05,0.0,0.892501350956116,0.0,1
500000.0,-5,7,0.00108375632653825,0.0,10.8375632653825,0.0,1
500000.0,-4,0,-0.001004915352978789,0.0,-10.04915352978789,0.0,1
500000.0,-4,1,-8.97426260470656e-05,0.0,-0.897426260470656,0.0,1
500000.0,-4,2,-1.0259321386104217e-05,0.0,-0.10259321386104217,0.0,1
500000.0,-4,3,-4.95956305267832e-07,-3.050065929110085e-05,-0.00495956305267832,-0.3050065929110085,0
500000.0,-4,4,-4.95956305267832e-07,3.050065929110085e-05,-0.00495956305267832,0.3050065929110085,0
500000.0,-4,5,1.073395339549019e-05,0.0,0.10733953395490191,0.0,1
500000.0,-4,6,8.92678440566152e-05,0.0,0.892678440566152,0.0,1
500000.0,-4,7,0.0010059074155703894,0.0,10.059074155703895,0.0,1
500000.0,-3,0,-0.0009400258134184178,0.0,-9.400258134184178,0.0,1
500000.0,-3,1,-8.970861315191084e-05,0.0,-0.8970861315191084,0.0,1
500000.0,-3,2,-1.0292813613888699e-05,0.0,-0.10292813613888699,0.0,1
500000.0,-3,3,-4.2531905467532233e-07,-3.047837603404649e-05,-0.004253190546753223,-0.3047837603404649,0
500000.0,-3,4,-4.2531905467532233e-07,3.047837603404649e-05,-0.004253190546753223,0.3047837603404649,0
500000.0,-3,5,1.0700219058317578e-05,0.0,0.10700219058317578,0.0,1
500000.0,-3,6,8.930111281234478e-05,0.0,0.8930111281234479,0.0,1
500000.0,-3,7,0.0009408765464229056,0.0,9.408765464229056,0.0,1
500000.0,-2,0,-0.0008908405943550976,0.0,-8.908405943550976,0.0,1
500000.0,-2,1,-8.965584895242647e-05,0.0,-0.8965584895242648,0.0,1
500000.0,-2,2,-1.0344932642717017e-05,0.0,-0.10344932642717017,0.0,1
500000.0,-2,3,-3.1591627008641934e-07,-3.0457916761799677e-05,-0.0031591627008641936,-0.30457916761799675,0
500000.0,-2,4,-3.1591627008641934e-07,3.0457916761799677e-05,-0.0031591627008641936,0.30457916761799675,0
500000.0,-2,5,1.064779933055548e-05,0.0,0.10647799330555481,0.0,1
500000.0,-2,6,8.93529432626696e-05,0.0,0.893529432626696,0.0,1
500000.0,-2,7,0.0008914724658971889,0.0,8.91472465897189,0.0,1
500000.0,-1,0,-0.000860055283003122,0.0,-8.60055283003122,0.0,1
500000.0,-1,1,-8.958532333211362e-05,0.0,-0.8958532333211362,0.0,1
500000.0,-1,2,-1.0414899490783048e-05,0.0,-0.10414899490783047,0.0,1
500000.0,-1,3,-1.695749682859342e-07,-3.0443126025427893e-05,-0.001695749682859342,-0.3044312602542789,0
500000.0,-1,4,-1.695749682859342e-07,3.0443126025427893e-05,-0.001695749682859342,0.3044312602542789,0
500000.0,-1,5,1.0577569679449342e-05,0.0,0.10577569679449342,0.0,1
500000.0,-1,6,8.942264709883246e-05,0.0,0.8942264709883245,0.0,1
500000.0,-1,7,0.0008603944389843084,0.0,8.603944389843084,0.0,1
500000.0,0,0,-0.000849664099190282,0.0,-8.49664099190282,0.0,1
500000.0,0,1,-8.95038185253699e-05,0.0,-0.895038185253699,0.0,1
500000.0,0,2,-1.049618147462999e-05,0.0,-0.1049618147462999,0.0,1
500000.0,0,3,9.020562075079398e-21,-3.043767740776285e-05,9.020562075079398e-17,-0.3043767740776285,0
500000.0,0,4,9.020562075079398e-21,3.043767740776285e-05,9.020562075079398e-17,0.3043767740776285,0
500000.0,0,5,1.0496181474630005e-05,0.0,0.10496181474630005,0.0,1
500000.0,0,6,8.950381852537006e-05,0.0,0.8950381852537006,0.0,1
500000.0,0,7,0.0008496640991902823,0.0,8.496640991902822,0.0,1
500000.0,1,0,-0.0008603944389843084,0.0,-8.603944389843084,0.0,1
500000.0,1,1,-8.942264709883246e-05,0.0,-0.8942264709883245,0.0,1
500000.0,1,2,-1.0577569679449342e-05,0.0,-0.10577569679449342,0.0,1
500000.0,1,3,1.695749682859342e-07,-3.0443126025427893e-05,0.001695749682859342,-0.3044312602542789,0
500000.0,1,4,1.695749682859342e-07,3.0443126025427893e-05,0.001695749682859342,0.3044312602542789,0
500000.0,1,5,1.0414899490783048e-05,0.0,0.10414899490783047,0.0,1
500000.0,1,6,8.958532333211362e-05,0.0,0.8958532333211362,0.0,1
500000.0,1,7,0.000860055283003122,0.0,8.60055283003122,0.0,1
500000.0,2,0,-0.0008914724658971889,0.0,-8.91472465897189,0.0,1
500000.0,2,1,-8.93529432626696e-05,0.0,-0.893529432626696,0.0,1
500000.0,2,2,-1.064779933055548e-05,0.0,-0.10647799330555481,0.0,1
500000.0,2,3,3.1591627008641934e-07,-3.0457916761799677e-05,0.0031591627008641936,-0.30457916761799675,0
500000.0,2,4,3.1591627008641934e-07,3.0457916761799677e-05,0.0031591627008641936,0.30457916761799675,0
500000.0,2,5,1.0344932642717017e-05,0.0,0.10344932642717017,0.0,1
500000.0,2,6,8.965584895242647e-05,0.0,0.8965584895242648,0.0,1
500000.0,2,7,0.0008908405943550976,0.0,8.908405943550976,0.0,1
500000.0,3,0,-0.0009408765464229056,0.0,-9.408765464229056,0.0,1
500000.0,3,1,-8.930111281234478e-05,0.0,-0.8930111281234479,0.0,1
500000.0,3,2,-1.0700219058317578e-05,0.0,-0.10700219058317578,0.0,1
500000.0,3,3,4.2531905467532233e-07,-3.047837603404649e-05,0.004253190546753223,-0.3047837603404649,0
500000.0,3,4,4.2531905467532233e-07,3.047837603404649e-05,0.004253190546753223,0.3047837603404649,0
500000.0,3,5,1.0292813613888699e-05,0.0,0.10292813613888699,0.0,1
500000.0,3,6,8.970861315191084e-05,0.0,0.8970861315191084,0.0,1
500000.0,3,7,0.0009400258134184178,0.0,9.400258134184178,0.0,1
500000.0,4,0,-0.0010059074155703894,0.0,-10.059074155703895,0.0,1
500000.0,4,1,-8.92678440566152e-05,0.0,-0.892678440566152,0.0,1
500000.0,4,2,-1.073395339549019e-05,0.0,-0.10733953395490191,0.0,1
500000.0,4,3,4.95956305267832e-07,-3.050065929110085e-05,0.00495956305267832,-0.3050065929110085,0
500000.0,4,4,4.95956305267832e-07,3.050065929110085e-05,0.00495956305267832,0.3050065929110085,0
500000.0,4,5,1.0259321386104217e-05,0.0,0.10259321386104217,0.0,1
500000.0,4,6,8.97426260470656e-05,0.0,0.897426260470656,0.0,1
500000.0,4,7,0.001004915352978789,0.0,10.04915352978789,0.0,1
500000.0,5,0,-0.00108375632653825,0.0,-10.8375632653825,0.0,1
500000.0,5,1,-8.92501350956116e-05,0.0,-0.892501350956116,0.0,1
500000.0,5,2,-1.0751937663532239e-05,0.0,-0.10751937663532239,0.0,1
500000.0,5,3,5.338556325048276e-07,-3.052203837694086e-05,0.005338556325048276,-0.3052203837694086,0
500000.0,5,4,5.338556325048276e-07,3.052203837694086e-05,0.005338556325048276,0.3052203837694086,0
500000.0,5,5,1.0241483015215133e-05,0.0,0.10241483015215133,0.0,1
500000.0,5,6,8.976077622367043e-05,0.0,0.8976077622367044,0.0,1
500000.0,5,7,0.0010826884287934988,0.0,10.826884287934988,0.0,1
500000.0,6,0,-0.0011718736668948602,0.0,-11.718736668948603,0.0,1
500000.0,6,1,-8.924380408960786e-05,0.0,-0.8924380408960786,0.0,1
500000.0,6,2,-1.07583717022877e-05,0.0,-0.10758371702287699,0.0,1
500000.0,6,3,5.476800416755576e-07,-3.05411106570017e-05,0.005476800416755576,-0.305411106570017,0
500000.0,6,4,5.476800416755576e-07,3.05411106570017e-05,0.005476800416755576,0.305411106570017,0
500000.0,6,5,1.0235105520119741e-05,0.0,0.10235105520119742,0.0,1
500000.0,6,6,8.976727105730904e-05,0.0,0.8976727105730904,0.0,1
500000.0,6,7,0.0011707781060259757,0.0,11.707781060259757,0.0,1
500000.0,7,0,-0.0012681230881521914,0.0,-12.681230881521914,0.0,1
500000.0,7,1,-8.924502995787654e-05,0.0,-0.8924502995787654,0.0,1
500000.0,7,2,-1.0757125719183694e-05,0.0,-0.10757125719183694,0.0,1
500000.0,7,3,5.454416334565303e-07,-3.055743602662253e-05,0.005454416334565303,-0.3055743602662253,0
500000.0,7,4,5.454416334565303e-07,3.055743602662253e-05,0.005454416334565303,0.3055743602662253,0
500000.0,7,5,1.0236343243570361e-05,0.0,0.10236343243570362,0.0,1
500000.0,7,6,8.976601029270086e-05,0.0,0.8976601029270086,0.0,1
500000.0,7,7,0.0012670320070260672,0.0,12.670320070260672,0.0,1
500000.0,8,0,-0.001370794765635083,0.0,-13.707947656350829,0.0,1
500000.0,8,1,-8.925089417830322e-05,0.0,-0.8925089417830322,0.0,1
500000.0,8,2,-1.0751166446747018e-05,0.0,-0.10751166446747018,0.0,1
500000.0,8,3,5.333036106445407e-07,-3.057110440061768e-05,0.005333036106445407,-0.30571104400617677,0
500000.0,8,4,5.333036106445407e-07,3.057110440061768e-05,0.005333036106445407,0.30571104400617677,0
500000.0,8,5,1.0242254458368824e-05,0.0,0.10242254458368824,0.0,1
500000.0,8,6,8.975999073616598e-05,0.0,0.8975999073616597,0.0,1
500000.0,8,7,0.0013697279738443095,0.0,13.697279738443095,0.0,1
500000.0,9,0,-0.0014785530129317367,0.0,-14.785530129317367,0.0,1
