branch_id,radial_mode_n,category,m_min,m_max,valid_points_count
351,180,Poincare-like,1.0,30.000000000000025,581
352,187,Poincare-like,1.0,30.000000000000025,581
353,152,Poincare-like,1.0,30.000000000000025,581
354,139,Poincare-like,1.0,30.000000000000025,581
355,112,Poincare-like,1.0,30.000000000000025,581
356,89,Poincare-like,1.0,30.000000000000025,581
357,62,Poincare-like,1.0,30.000000000000025,581
358,49,Poincare-like,1.0,30.000000000000025,581
359,10,Poincare-like,1.0,30.000000000000025,581
360,17,Poincare-like,1.0,30.000000000000025,581
361,34,Poincare-like,1.0,30.000000000000025,581
362,57,Poincare-like,1.0,30.000000000000025,581
363,84,Poincare-like,1.0,30.000000000000025,581
364,117,Poincare-like,1.0,30.000000000000025,581
365,140,Poincare-like,1.0,30.000000000000025,581
366,169,Poincare-like,1.0,30.000000000000025,581
367,192,Poincare-like,1.0,30.000000000000025,581
368,187,Poincare-like,1.0,30.000000000000025,581
369,168,Poincare-like,1.0,30.000000000000025,581
370,129,Poincare-like,1.0,30.000000000000025,581
371,106,Poincare-like,1.0,30.000000000000025,581
372,79,Poincare-like,1.0,30.000000000000025,581
373,60,Poincare-like,1.0,30.000000000000025,581
374,39,Poincare-like,1.0,30.000000000000025,581
375,14,Poincare-like,1.0,30.000000000000025,581
376,11,Poincare-like,1.0,30.000000000000025,581
377,46,Poincare-like,1.0,30.000000000000025,581
378,71,Poincare-like,1.0,30.000000000000025,581
379,90,Poincare-like,1.0,30.000000000000025,581
380,109,Poincare-like,1.0,30.000000000000025,581
381,140,Poincare-like,1.0,30.000000000000025,581
382,163,Poincare-like,1.0,30.000000000000025,6
383,188,Poincare-like,1.0,30.000000000000025,581
384,185,Poincare-like,1.0,30.000000000000025,36
385,158,Poincare-like,1.0,30.000000000000025,581
386,131,Poincare-like,1.0,30.000000000000025,581
387,108,Poincare-like,1.0,30.000000000000025,581
388,91,Poincare-like,1.0,30.000000000000025,581
389,58,Poincare-like,1.0,30.000000000000025,581
390,31,Poincare-like,1.0,30.000000000000025,581
391,10,Poincare-like,1.0,30.000000000000025,581
392,13,Poincare-like,1.0,30.000000000000025,47
393,40,Poincare-like,1.0,30.000000000000025,581
394,67,Poincare-like,1.0,30.000000000000025,581
395,90,Poincare-like,1.0,30.000000000000025,581
396,123,Poincare-like,1.0,30.000000000000025,581
397,138,Poincare-like,1.0,30.000000000000025,581
398,167,Poincare-like,1.0,30.000000000000025,581
399,182,Poincare-like,1.0,30.000000000000025,581
400,189,Poincare-like,1.0,30.000000000000025,581
401,158,Poincare-like,1.0,30.000000000000025,581
402,135,Poincare-like,1.0,30.000000000000025,581
403,100,Poincare-like,1.0,30.000000000000025,581
404,83,Poincare-like,1.0,30.000000000000025,581
405,58,Poincare-like,1.0,30.000000000000025,581
406,43,Poincare-like,1.0,30.000000000000025,581
407,18,Poincare-like,1.0,30.000000000000025,581
408,15,Poincare-like,1.0,30.000000000000025,581
409,38,Poincare-like,1.0,30.000000000000025,581
410,71,Poincare-like,1.0,30.000000000000025,581
411,90,Poincare-like,1.0,30.000000000000025,581
412,113,Poincare-like,1.0,30.000000000000025,581
413,132,Poincare-like,1.0,30.000000000000025,581
414,163,Poincare-like,1.0,30.000000000000025,581
415,186,Poincare-like,1.0,30.000000000000025,581
416,193,Poincare-like,1.0,30.000000000000025,581
417,164,Poincare-like,1.0,30.000000000000025,581
418,137,Poincare-like,1.0,30.000000000000025,581
419,116,Poincare-like,1.0,30.000000000000025,581
420,91,Poincare-like,1.0,30.000000000000025,581
421,66,Poincare-like,1.0,30.000000000000025,581
422,45,Poincare-like,1.0,30.000000000000025,581
423,20,Poincare-like,1.0,30.000000000000025,581
424,9,Poincare-like,1.0,30.000000000000025,581
425,34,Poincare-like,1.0,30.000000000000025,581
426,63,Poincare-like,1.0,30.000000000000025,581
427,90,Poincare-like,1.0,30.000000000000025,581
428,105,Poincare-like,1.0,30.000000000000025,581
429,132,Poincare-like,1.0,30.000000000000025,581
430,157,Poincare-like,1.0,30.000000000000025,581
