omega_rad_s,hat_omega,sigma_rel
-0.0004726941833820032,-1.4324066163091007,0.0015516452852089896
-0.0004685487403657427,-1.4198446677749779,0.0014704316055666388
-0.00046440329734948223,-1.4072827192408552,0.001368602930239348
-0.0004602578543332215,-1.394720770706732,0.0012526518916782818
-0.000456112411316961,-1.382158822172609,0.00112716259327607
-0.0004519669683007005,-1.3695968736384865,0.0009952205915720286
-0.00044782152528444,-1.3570349251043636,0.0008589384351615819
-0.0004436760822681793,-1.3444729765702403,0.000719849184766375
-0.0004395306392519188,-1.3319110280361175,0.0005791700807032035
-0.0004353851962356583,-1.3193490795019949,0.0004379844744674334
-0.0004312397532193978,-1.3067871309678722,0.0002973833503732225
-0.0004270943102031371,-1.2942251824337487,0.00015859761153389694
-0.0004229488671868766,-1.281663233899626,2.31476242806868e-05
-0.0004188034241706161,-1.2691012853655033,0.00010108822983733394
-0.0004146579811543556,-1.2565393368313806,0.00022355785375804605
-0.0004105125381380949,-1.2439773882972571,0.00033410090848151104
-0.0004063670951218344,-1.2314154397631345,0.0004272235410371382
-0.0004022216521055739,-1.2188534912290119,0.0004956579420090035
-0.0003980762090893134,-1.206291542694889,0.000531157075130398
-0.00039393076607305267,-1.1937295941607657,0.0005271650505211695
-0.00038978532305679217,-1.181167645626643,0.0004825011366601614
-0.00038563988004053167,-1.1686056970925203,0.00040240552286309103
-0.00038149443702427117,-1.1560437485583974,0.00029542818855934964
-0.00037734899400801046,-1.1434818000242741,0.000169867744891196
-0.00037320355099174996,-1.1309198514901513,3.2708934036965935e-05
-0.00036905810797548946,-1.1183579029560287,0.0001066038411237529
-0.00036491266495922896,-1.105795954421906,0.00022058474620988575
-0.00036076722194296825,-1.0932340058877825,0.00015633508788013694
-0.00035662177892670775,-1.08067205735366,1.2589982844349768e-05
-0.00035247633591044725,-1.068110108819537,0.00010444063212123507
-0.00034833089289418675,-1.0555481602854144,6.996202773607976e-05
-0.00034418544987792603,-1.042986211751291,6.409120406566545e-05
-0.00034004000686166554,-1.0304242632171683,4.000709790258041e-05
-0.00033589456384540504,-1.0178623146830457,3.957069148394833e-06
-0.00033174912082914454,-1.0053003661489228,3.3080933249708976e-06
-0.00032760367781288393,-0.9927384176147998,1.6064141862054295e-07
-0.000327537677812884,-0.9925384176147999,1.361769971311067e-06
-0.00032331591994761425,-0.9797452119624674,0.00017554585044520914
-0.0003190941620823445,-0.9669520063101349,0.00034881583678197605
-0.00031487240421707485,-0.9541588006578026,0.0005226418330947789
-0.00031065064635180513,-0.9413655950054701,0.0006975345970963917
-0.0003064288884865354,-0.9285723893531376,0.0008737914584754034
-0.0003022071306212657,-0.9157791837008051,0.001051626806800746
-0.00029798537275599595,-0.9029859780484726,0.0012312153786292268
-0.0002937636148907263,-0.8901927723961403,0.0014127112373026765
-0.00028954185702545655,-0.8773995667438077,0.0015962575958553828
-0.00028532009916018683,-0.8646063610914753,0.001781992505524517
-0.0002810983412949171,-0.8518131554391427,0.001970052440895062
-0.00027687658342964743,-0.8390199497868104,0.002160574723857802
-0.0002726548255643777,-0.8262267441344779,0.002353699269506595
-0.000268433067699108,-0.8134335384821454,0.002549569921251135
-0.00026421130983383825,-0.800640332829813,0.0027483355320855915
-0.0002599895519685686,-0.7878471271774805,0.0029501508887529813
-0.00025576779410329886,-0.7750539215251481,0.0031551775409555598
-0.00025154603623802913,-0.7622607158728155,0.0033635845770400843
-0.0002473242783727594,-0.7494675102204831,0.003575549374742354
-0.0002431025205074897,-0.7366743045681506,0.00379125834737352
-0.00023888076264221998,-0.7238810989158181,0.004010907700455412
-0.00023465900477695028,-0.7110878932634858,0.004234704210187177
-0.00023043724691168056,-0.6982946876111532,0.00446286603259951
-0.00022621548904641083,-0.6855014819588207,0.004695623550408241
-0.00022199373118114113,-0.6727082763064883,0.004933220263133293
-0.00021777197331587143,-0.6599150706541559,0.005175913724804351
-0.0002135502154506017,-0.6471218650018233,0.005423976532372224
-0.00020932845758533198,-0.6343286593494909,0.005677697366647544
-0.00020510669972006228,-0.6215354536971585,0.005937382086062054
-0.00020088494185479256,-0.6087422480448259,0.00620335487164532
-0.00019666318398952286,-0.5959490423924935,0.006475959419164839
-0.00019244142612425313,-0.583155836740161,0.006755560171174894
-0.0001882196682589834,-0.5703626310878285,0.007042543577503882
-0.0001839979103937137,-0.5575694254354961,0.007337319367132008
-0.00017977615252844398,-0.5447762197831636,0.007640321807035788
-0.00017555439466317429,-0.5319830141308312,0.007952010913815838
-0.00017133263679790456,-0.5191898084784987,0.008272873571013844
-0.00016711087893263486,-0.5063966028261663,0.00860342448794777
-0.00016288912106736514,-0.4936033971738337,0.008944206913295677
-0.00015866736320209544,-0.48081019152150134,0.009295792986736814
-0.0001544456053368257,-0.46801698586916884,0.009658783572295175
-0.00015022384747155599,-0.45522378021683635,0.010033807364385847
-0.0001460020896062863,-0.4424305745645039,0.010421518987566096
-0.00014178033174101656,-0.4296373689121714,0.010822595717741457
-0.00013755857387574686,-0.416844163259839,0.01123773232806829
-0.00013333681601047714,-0.4040509576075065,0.011667633396153544
-0.00012911505814520744,-0.39125775195517404,0.012113002185554162
-0.0001248933002799377,-0.37846454630284154,0.012574524913760958
-0.00012067154241466799,-0.36567134065050905,0.013052848813084017
-0.00011644978454939829,-0.35287813499817666,0.013548551842100466
-0.00011222802668412856,-0.3400849293458441,0.014062101161443411
-0.00010800626881885886,-0.3272917236935117,0.014593796477227831
-0.00010378451095358914,-0.31449851804117923,0.015143692980713165
-9.956275308831944e-05,-0.3017053123888468,0.01571149674125891
-9.534099522304971e-05,-0.2889121067365143,0.016296422862904576
-9.111923735777999e-05,-0.2761189010841818,0.01689700325714202
-8.689747949251029e-05,-0.26332569543184936,0.01751082621253087
-8.267572162724059e-05,-0.2505324897795169,0.01813418368509519
-7.845396376197087e-05,-0.23773928412718445,0.018761593980823926
-7.423220589670114e-05,-0.22494607847485193,0.01938515689436768
-7.001044803143142e-05,-0.21215287282251943,0.019993685340686334
-6.578869016616174e-05,-0.1993596671701871,0.02057154285613774
-6.156693230089202e-05,-0.1865664615178546,0.021097102919110346
-5.734517443562229e-05,-0.17377325586552209,0.02154074139092411
-5.3123416570352567e-05,-0.1609800502131896,0.02186229507453863
-4.890165870508284e-05,-0.1481868445608571,0.022008005760064973
-4.467990083981317e-05,-0.13539363890852477,0.021907200031843564
-4.0458142974543444e-05,-0.12260043325619226,0.02146948961084567
-3.623638510927372e-05,-0.10980722760385975,0.02058441207032429
-3.201462724400399e-05,-0.09701402195152725,0.01912765448293672
-2.779286937873432e-05,-0.08422081629919491,0.016981856480295633
-2.3571111513464595e-05,-0.07142761064686241,0.014085038366422298
-1.934935364819487e-05,-0.05863440499452991,0.010520590789940857
-1.5127595782925144e-05,-0.04584119934219741,0.006640152048991461
-1.0905837917655418e-05,-0.033047993689864906,0.00312925031311965
-6.684080052385747e-06,-0.020254788037532567,0.0008031857352271514
-2.4623221871160433e-06,-0.007461582385200131,1.3884861197071165e-06
-2.3963221871160435e-06,-0.007261582385200132,1.5076031297483966e-07
-2.348091122072859e-06,-0.007115427642645027,2.4781201999104898e-08
-2.299860057029674e-06,-0.006969272900089921,4.0434142973416525e-07
-2.2516289919864897e-06,-0.006823118157534817,5.25401995749295e-07
-2.2033979269433053e-06,-0.006676963414979713,4.1955097756472207e-07
-2.155166861900121e-06,-0.006530808672424609,7.744332401112952e-08
-2.106935796856936e-06,-0.006384653929869503,4.751884893146407e-07
-2.0587047318137515e-06,-0.006238499187314399,7.704880429602731e-07
-2.010473666770567e-06,-0.006092344444759294,5.08314296036231e-09
-1.9622426017273822e-06,-0.005946189702204188,8.868702998524204e-07
-1.9140115366841978e-06,-0.005800034959649084,1.606329948635226e-07
-1.8657804716410133e-06,-0.00565388021709398,9.178497816469977e-07
-1.8175494065978287e-06,-0.005507725474538875,2.4219553388668434e-08
-1.769318341554644e-06,-0.00536157073198377,9.154532865877271e-07
-1.7210872765114596e-06,-0.005215415989428666,3.593478877346099e-07
-1.6728562114682752e-06,-0.005069261246873561,5.007071886676077e-07
-1.6246251464250905e-06,-0.004923106504318456,8.915045524716804e-07
-1.5763940813819059e-06,-0.004776951761763351,1.6341116473574565e-07
-1.5281630163387214e-06,-0.004630797019208247,5.529088707942469e-07
-1.479931951295537e-06,-0.004484642276653143,9.014903574193443e-07
-1.4317008862523523e-06,-0.004338487534098038,3.1722930757089514e-07
-1.3834698212091677e-06,-0.004192332791542933,2.8183805999145957e-07
-1.3352387561659832e-06,-0.004046178048987828,7.881183701407545e-07
-1.2870076911227986e-06,-0.003900023306432723,7.044779703909517e-07
-1.238776626079614e-06,-0.003753868563877618,2.280381847646699e-07
-1.1905455610364295e-06,-0.0036077138213225137,2.1965084354885136e-07
-1.1423144959932448e-06,-0.0034615590787674087,6.026400538426683e-07
-1.0940834309500604e-06,-0.003315404336212304,7.783679192031806e-07
-1.0458523659068757e-06,-0.003169249593657199,4.878672996453928e-07
-9.976213008636913e-07,-0.0030230948511020947,1.6363560612529385e-07
-9.493902358205066e-07,-0.0028769401085469897,1.2581104762042752e-07
-9.011591707773222e-07,-0.0027307853659918856,3.704521194148684e-07
-8.529281057341375e-07,-0.0025846306234367806,5.587483257896615e-07
-8.046970406909529e-07,-0.0024384758808816756,6.053678062641633e-07
-7.564659756477685e-07,-0.002292321138326571,4.444844179772626e-07
-7.082349106045838e-07,-0.002146166395771466,2.6828914151723636e-07
-6.600038455613994e-07,-0.0020000116532163615,1.1441120796023936e-07
-6.117727805182147e-07,-0.0018538569106612568,1.268318608361114e-08
-5.635417154750303e-07,-0.0017077021681061524,1.1287398981014941e-07
-5.153106504318456e-07,-0.0015615474255510472,1.8728458978038415e-07
-4.670795853886612e-07,-0.001415392682995943,2.3748550731915992e-07
-4.188485203454763e-07,-0.0012692379404408373,2.6505881350341275e-07
-3.7061745530229187e-07,-0.001123083197885733,2.7103209759563695e-07
-3.2238639025910743e-07,-0.0009769284553306286,2.551593970841257e-07
-2.74155325215923e-07,-0.0008307737127755242,2.190252530307846e-07
-2.2592426017273812e-07,-0.0006846189702204186,1.735837354428154e-07
-1.7769319512955368e-07,-0.0005384642276653142,1.2935849074487078e-07
-1.2946213008636924e-07,-0.00039230948511020984,8.958424375860244e-08
-8.123106504318438e-08,-0.00024615474255510416,5.406364551517401e-08
-3.3000000000000004e-08,-0.00010000000000000002,2.147689207627592e-08
3.3000000000000004e-08,0.00010000000000000002,2.14802535938623e-08
8.123106504318456e-08,0.00024615474255510475,5.408343786850902e-08
1.2946213008636914e-07,0.0003923094851102095,8.963130248591967e-08
1.7769319512955368e-07,0.0005384642276653142,1.294352017232444e-07
2.2592426017273823e-07,0.0006846189702204189,1.7366812642876455e-07
2.741553252159228e-07,0.0008307737127755235,2.1902914310016025e-07
3.223863902591074e-07,0.0009769284553306284,2.549346829533215e-07
3.706174553022919e-07,0.0011230831978857332,2.7055629401564196e-07
4.1884852034547647e-07,0.0012692379404408377,2.6437164568816113e-07
