m,root_index,real_omega,imag_omega,real_omega_over_Omega,imag_omega_over_Omega,abs_residual,normalized_residual,root_class
4,1,-9.614182372721919280e-04,0.000000000000000000e+00,-1.922836474544383734e+01,0.000000000000000000e+00,7.867320831229887003e-40,3.543126292905423333e-24,real_negative
4,2,9.149473028705480248e-05,0.000000000000000000e+00,1.829894605741095859e+00,0.000000000000000000e+00,3.731607177642319873e-46,1.680566469472293948e-30,real_positive
4,3,-9.107294753492564177e-05,0.000000000000000000e+00,-1.821458950698512824e+00,0.000000000000000000e+00,2.207489829359346228e-46,9.941650372926862428e-31,real_negative
4,4,5.428862564604556173e-07,2.805792930730032148e-05,1.085772512920911252e-02,5.611585861460064439e-01,6.734280906034814636e-48,3.032850497902663738e-32,complex_unstable
4,5,5.428862564604556173e-07,-2.805792930730032148e-05,1.085772512920911252e-02,-5.611585861460064439e-01,6.734280906034814636e-48,3.032850497902663738e-32,complex_damped
4,6,-8.928874036714613339e-06,0.000000000000000000e+00,-1.785774807342922488e-01,0.000000000000000000e+00,1.197398590121303649e-48,5.392603844284260389e-33,real_negative
4,7,8.507258464709843202e-06,0.000000000000000000e+00,1.701451692941968463e-01,0.000000000000000000e+00,1.710569414459005214e-49,7.703719777548943412e-34,real_positive
5,0,1.000255034312629368e-03,0.000000000000000000e+00,2.000510068625258597e+01,0.000000000000000000e+00,5.196738572507246560e-40,2.340402968557549750e-24,real_positive
5,1,-1.001505854517141698e-03,0.000000000000000000e+00,-2.003011709034283427e+01,0.000000000000000000e+00,1.151911163318682779e-39,5.187746638233801637e-24,real_negative
5,2,9.152712472149302750e-05,0.000000000000000000e+00,1.830542494429860501e+00,0.000000000000000000e+00,1.061408321671812735e-46,4.780158121969093989e-31,real_positive
5,3,-9.104157600052540462e-05,0.000000000000000000e+00,-1.820831520010508076e+00,0.000000000000000000e+00,1.784294956222188338e-45,8.035750099961259433e-30,real_negative
5,4,6.252826464292687946e-07,2.807042209801741426e-05,1.250565292858537604e-02,5.614084419603482257e-01,1.264346875484832914e-47,5.694112117300544415e-32,complex_unstable
5,5,6.252826464292687946e-07,-2.807042209801741426e-05,1.250565292858537604e-02,-5.614084419603482257e-01,1.264346875484832914e-47,5.694112117300544415e-32,complex_damped
5,6,-8.960821389639080656e-06,0.000000000000000000e+00,-1.792164277927816018e-01,0.000000000000000000e+00,1.111870119398353389e-48,5.007417855406813218e-33,real_negative
5,7,8.475527580325424224e-06,0.000000000000000000e+00,1.695105516065084639e-01,0.000000000000000000e+00,4.276423536147513034e-49,1.925929944387235853e-33,real_positive
6,0,1.047018496792447928e-03,0.000000000000000000e+00,2.094036993584895612e+01,0.000000000000000000e+00,1.732389562439297657e-39,7.801988885531577454e-24,real_positive
6,1,-1.048388025556914582e-03,0.000000000000000000e+00,-2.096776051113829098e+01,0.000000000000000000e+00,2.746615637277686382e-39,1.236965699684571986e-23,real_negative
6,2,9.155042095467360100e-05,0.000000000000000000e+00,1.831008419093471895e+00,0.000000000000000000e+00,2.138639410427371268e-45,9.631575651880509048e-30,real_positive
6,3,-9.101910155685244972e-05,0.000000000000000000e+00,-1.820382031137048884e+00,0.000000000000000000e+00,7.800196529933063774e-46,3.512896218562297877e-30,real_negative
6,4,6.845974580461176281e-07,2.808314992653966730e-05,1.369194916092235197e-02,5.616629985307932671e-01,1.294621453139631850e-47,5.830456693945496050e-32,complex_unstable
6,5,6.845974580461176281e-07,-2.808314992653966730e-05,1.369194916092235197e-02,-5.616629985307932671e-01,1.294621453139631850e-47,5.830456693945496050e-32,complex_damped
6,6,-8.983754897504419597e-06,0.000000000000000000e+00,-1.796750979500883749e-01,0.000000000000000000e+00,5.986992950606518247e-49,2.696301922142130194e-33,real_negative
6,7,8.452769348057366123e-06,0.000000000000000000e+00,1.690553869611473026e-01,0.000000000000000000e+00,8.552847072295026068e-50,3.851859888774471706e-34,real_positive
7,0,-1.101197783194440881e-03,0.000000000000000000e+00,-2.202395566388881676e+01,0.000000000000000000e+00,3.813996433613257356e-40,1.717671258056855114e-24,real_negative
7,1,1.099749863114112859e-03,0.000000000000000000e+00,2.199499726228225782e+01,0.000000000000000000e+00,1.378552641876947079e-39,6.208449043702249112e-24,real_positive
7,2,-9.100434607696092359e-05,0.000000000000000000e+00,-1.820086921539218361e+00,0.000000000000000000e+00,2.318334727416289766e-45,1.044085141451201574e-29,real_negative
7,3,9.156575594794463108e-05,0.000000000000000000e+00,1.831315118958892540e+00,0.000000000000000000e+00,1.229215181230241146e-45,5.535893032146635003e-30,real_positive
7,4,7.237632008850071066e-07,2.809548122494871528e-05,1.447526401770014154e-02,5.619096244989743028e-01,2.081903572810593677e-47,9.376060154731093971e-32,complex_unstable
7,5,7.237632008850071066e-07,-2.809548122494871528e-05,1.447526401770014154e-02,-5.619096244989743028e-01,2.081903572810593677e-47,9.376060154731093971e-32,complex_damped
7,6,-8.998832672412566949e-06,0.000000000000000000e+00,-1.799766534482513392e-01,0.000000000000000000e+00,8.552847072295026068e-50,3.851859888774471706e-34,real_negative
7,7,8.437816479986514796e-06,0.000000000000000000e+00,1.687563295997302759e-01,0.000000000000000000e+00,3.421138828918010427e-49,1.540743955509788682e-33,real_positive
8,0,-1.159126131753565429e-03,0.000000000000000000e+00,-2.318252263507130806e+01,0.000000000000000000e+00,1.228280785852146332e-39,5.531684726184634316e-24,real_negative
8,1,1.157632962793428769e-03,0.000000000000000000e+00,2.315265925586857421e+01,0.000000000000000000e+00,3.356029940946607300e-39,1.511421474934713864e-23,real_positive
8,2,-9.099590380318256879e-05,0.000000000000000000e+00,-1.819918076063651302e+00,0.000000000000000000e+00,9.961500985102016861e-46,4.486261212455595667e-30,real_negative
8,3,9.157454336093339667e-05,0.000000000000000000e+00,1.831490867218667828e+00,0.000000000000000000e+00,2.302426431861821017e-46,1.036920682058080251e-30,real_positive
8,4,7.463690298810624468e-07,2.810702111494442536e-05,1.492738059762124814e-02,5.621404222988884980e-01,1.398442806333116537e-47,6.298026501500774338e-32,complex_unstable
8,5,7.463690298810624468e-07,-2.810702111494442536e-05,1.492738059762124814e-02,-5.621404222988884980e-01,1.398442806333116537e-47,6.298026501500774338e-32,complex_damped
8,6,-9.007466747815133179e-06,0.000000000000000000e+00,-1.801493349563026425e-01,0.000000000000000000e+00,4.276423536147513034e-49,1.925929944387235853e-33,real_negative
8,7,8.429258090439184183e-06,0.000000000000000000e+00,1.685851618087836623e-01,0.000000000000000000e+00,2.565854121688507820e-49,1.155557966632341512e-33,real_positive
9,0,-1.221446067969250617e-03,0.000000000000000000e+00,-2.442892135938501141e+01,0.000000000000000000e+00,1.910977265975277211e-39,8.606276116939150460e-24,real_negative
9,1,1.219933641760663576e-03,0.000000000000000000e+00,2.439867283521326868e+01,0.000000000000000000e+00,4.038671774620524578e-40,1.818855989046781990e-24,real_positive
